policy_item_group_taxonomy_map_id,policy_item_group_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PGTM-EXP-TD-007-09-01,PIG-EXP-TD-007-09,tech_domain,TD-007,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01275 (auto_mapped)
PGTM-EXP-TD-007-09-02,PIG-EXP-TD-007-09,tech_subdomain,TSD-007-001,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01275 (auto_mapped)
PGTM-EXP-TD-007-09-03,PIG-EXP-TD-007-09,strategy,STR-004,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01275 (auto_mapped)
PGTM-EXP-TD-007-10-01,PIG-EXP-TD-007-10,tech_domain,TD-007,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01298 (auto_mapped)
PGTM-EXP-TD-007-10-02,PIG-EXP-TD-007-10,tech_subdomain,TSD-007-001,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01298 (auto_mapped)
PGTM-EXP-TD-007-10-03,PIG-EXP-TD-007-10,strategy,STR-004,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-004-01298 (auto_mapped)
PGTM-EXP-TD-008-11-01,PIG-EXP-TD-008-11,tech_domain,TD-008,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00350 (auto_mapped)
PGTM-EXP-TD-008-11-02,PIG-EXP-TD-008-11,tech_subdomain,TSD-008-003,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00350 (auto_mapped)
PGTM-EXP-TD-008-11-03,PIG-EXP-TD-008-11,strategy,STR-013,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00350 (reviewed_manual)
PGTM-EXP-TD-008-11-04,PIG-EXP-TD-008-11,strategy,STR-001,0,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00350 (reviewed_manual)
PGTM-EXP-TD-008-11-05,PIG-EXP-TD-008-11,strategy,STR-008,0,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00350 (reviewed_manual)
PGTM-EXP-TD-008-12-01,PIG-EXP-TD-008-12,tech_domain,TD-008,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-006-01398 (auto_mapped)
PGTM-EXP-TD-008-12-02,PIG-EXP-TD-008-12,tech_subdomain,TSD-008-006,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-006-01398 (auto_mapped)
PGTM-EXP-TD-008-12-03,PIG-EXP-TD-008-12,strategy,STR-001,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-006-01398 (auto_mapped)
PGTM-EXP-TD-008-12-04,PIG-EXP-TD-008-12,strategy,STR-013,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-006-01398 (auto_mapped)
PGTM-EXP-TD-010-13-01,PIG-EXP-TD-010-13,tech_domain,TD-010,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-007-01539 (auto_mapped)
PGTM-EXP-TD-010-13-02,PIG-EXP-TD-010-13,tech_subdomain,TSD-010-004,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-007-01539 (auto_mapped)
PGTM-EXP-TD-010-13-03,PIG-EXP-TD-010-13,strategy,STR-007,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-007-01539 (auto_mapped)
PGTM-EXP-TD-012-14-01,PIG-EXP-TD-012-14,tech_domain,TD-012,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00667 (auto_mapped)
PGTM-EXP-TD-012-14-02,PIG-EXP-TD-012-14,tech_subdomain,TSD-012-001,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00667 (auto_mapped)
PGTM-EXP-TD-012-14-03,PIG-EXP-TD-012-14,strategy,STR-005,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00667 (reviewed_manual)
PGTM-EXP-TD-012-15-01,PIG-EXP-TD-012-15,tech_domain,TD-012,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00455 (auto_mapped)
PGTM-EXP-TD-012-15-02,PIG-EXP-TD-012-15,tech_subdomain,TSD-012-002,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00455 (auto_mapped)
PGTM-EXP-TD-013-16-01,PIG-EXP-TD-013-16,tech_domain,TD-013,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00248 (auto_mapped)
PGTM-EXP-TD-013-16-02,PIG-EXP-TD-013-16,strategy,STR-005,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00248 (auto_mapped)
PGTM-EXP-TD-013-17-01,PIG-EXP-TD-013-17,tech_domain,TD-013,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00731 (auto_mapped)
PGTM-EXP-TD-013-17-02,PIG-EXP-TD-013-17,strategy,STR-005,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00731 (auto_mapped)
PGTM-EXP-TD-014-18-01,PIG-EXP-TD-014-18,tech_domain,TD-014,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00628 (auto_mapped)
PGTM-EXP-TD-014-18-02,PIG-EXP-TD-014-18,tech_subdomain,TSD-014-002,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00628 (auto_mapped)
PGTM-EXP-TD-014-18-03,PIG-EXP-TD-014-18,strategy,STR-009,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00628 (auto_mapped)
PGTM-EXP-TD-014-19-01,PIG-EXP-TD-014-19,tech_domain,TD-014,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00907 (auto_mapped)
PGTM-EXP-TD-014-19-02,PIG-EXP-TD-014-19,strategy,STR-009,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00907 (auto_mapped)
